doc_id	idno	sysdate	creaDate	lastDate		Nr. der Digitalisate	Dokumenttyp	Datierung (JJJJ-MM-TT)	Keine Jahres- o. Datumsangabe	Datierung (Zeitraum)	alternative Datierung	Titel	Verfasser/Aussteller	Verfasser/Aussteller (Transkript)	Beschreibung	Vollständigkeit des Archivals	Erläuterung Unvollständigkeit	Umfang in Seiten	Personen	Orte	Schlagwort	Bearbeitungsstatus	Bestand	zuletzt bearbeitet am	FuD-DBID				Digitalisat 1	Nr. des Digitalisats 1	Digitalisat 2	Nr. des Digitalisats 2	Digitalisat 3	Nr. des Digitalisats 3	Digitalisat 4	Nr. des Digitalisats 4	Digitalisat 5	Nr. des Digitalisats 5	Digitalisat 6	Nr. des Digitalisats 6	Digitalisat 7	Nr. des Digitalisats 7	Digitalisat 8	Nr. des Digitalisats 8	Digitalisat 9	Nr. des Digitalisats 9	Digitalisat 10	Nr. des Digitalisats 10	Digitalisat 11	Nr. des Digitalisats 11	Digitalisat 12	Nr. des Digitalisats 12	Digitalisat 13	Nr. des Digitalisats 13	Digitalisat 14	Nr. des Digitalisats 14	Digitalisat 15	Nr. des Digitalisats 15	Digitalisat 16	Nr. des Digitalisats 16	Digitalisat 17	Nr. des Digitalisats 17	Digitalisat 18	Nr. des Digitalisats 18	Digitalisat 19	Nr. des Digitalisats 19	Digitalisat 20	Nr. des Digitalisats 20		Digitalisate (tif)	xmltxt	
486	CdS-b2-0001	2022-04-08	2011-02-16 11:21:46	2021-08-26 10:44:48		C11/S89/003	Notiz		1				Salm, Constance de (CdS)		Notiz bzw. Verse der CdS.							80 - Freigabe	Toulon	2021-08-26 10:44:48	486				C11_S089_0003.jpg	C11/S89/003																																									<list><item n="main"></item></list>	
488	CdS-b2-0002	2022-04-08	2011-02-16 11:45:51	2021-06-15 15:12:30		C11/S89/016	Gedicht	1846-00-00	0						Gedicht in Latein über Papst Pius IX. (Titel auf Italienisch: „Evviva Pio nono\).							60 - 2. Korrektur -- Korrektur Briefanfänge -- Überprüfung Digitalisate	Toulon	2021-06-15 15:12:30	488				C11_S089_0016.jpg	C11/S89/016																																									<list><item n="main"></item></list>	
490	CdS-b2-0003	2022-04-08	2011-02-16 11:51:31	2021-06-15 15:12:30		C11/S89/018-019	Notiz		1						Auflistung der geistigen Eigenschaften und Zustände von Hirnarealen gemäß der Phrenologie des frühen 19. Jahrhunderts							60 - 2. Korrektur -- Korrektur Briefanfänge -- Überprüfung Digitalisate	Toulon	2021-06-15 15:12:30	490				C11_S089_0018.jpg	C11/S89/018	C11_S089_0019.jpg	C11/S89/019																																							<list><item n="main"></item></list>	
491	CdS-b2-0004	2022-04-08	2011-02-16 11:54:19	2021-06-15 15:12:30		C11/S89/020-022	Buch (Auszug)		1						Auszug eines Buchs mit dem Titel „Souvenirs de la Marquise de Créquy” (S. 15-18).							60 - 2. Korrektur -- Korrektur Briefanfänge -- Überprüfung Digitalisate	Toulon	2021-06-15 15:12:30	491				C11_S089_0020.jpg	C11/S89/020	C11_S089_0021.jpg	C11/S89/021	C11_S089_0022.jpg	C11/S89/022																																					<list><item n="main"></item></list>	
492	CdS-b2-0005	2022-04-08	2011-02-16 11:56:06	2021-06-15 15:12:30		C11/S89/023	Notiz		1						Handschriftliche Notizen (nicht aus der Hand der CdS). Auflistung diverser Namen.							40 - 2. Korrektur der deutschen Texte	Toulon	2021-06-15 15:12:30	492				C11_S089_0023.jpg	C11/S89/023																																									<list><item n="main"></item></list>	
493	CdS-b2-0006	2022-04-08	2011-02-16 11:58:57	2021-08-26 10:44:48		C11/S89/024-025	Notiz		1				Salm, Constance de (CdS)		Notizen Jean Paul Egide Martini betreffend (1741-1816).							60 - 2. Korrektur -- Korrektur Briefanfänge -- Überprüfung Digitalisate	Toulon	2021-08-26 10:44:48	493				C11_S089_0024.jpg	C11/S89/024	C11_S089_0025.jpg	C11/S89/025																																							<list><item n="main"></item></list>	
495	CdS-b2-0007	2022-04-08	2011-02-16 12:16:53	2021-06-15 15:12:30		C11/S89/028-029	Erzählung		1			Le monastère de Saint-Just			Erzählung.							60 - 2. Korrektur -- Korrektur Briefanfänge -- Überprüfung Digitalisate	Toulon	2021-06-15 15:12:30	495				C11_S089_0028.jpg	C11/S89/028	C11_S089_0029.jpg	C11/S89/029																																							<list><item n="main"></item></list>	
497	CdS-b2-0009	2022-04-08	2011-02-16 12:26:35	2021-06-15 15:12:30		C11/S89/033-036	Erzählung		1			Les fils retrouvés			Sage von Johann Gottfried von Herder, übersetzt aus dem Deutschen von F. D. Schuchmann.							40 - 2. Korrektur der deutschen Texte	Toulon	2021-06-15 15:12:30	497				C11_S089_0033.jpg	C11/S89/033	C11_S089_0034.jpg	C11/S89/034	C11_S089_0035.jpg	C11/S89/035	C11_S089_0036.jpg	C11/S89/036																																			<list><item n="main"></item></list>	
498	CdS-b2-000a	2022-04-08	2011-02-16 12:30:32	2021-06-15 15:12:30		C11/S89/037	Gedicht	1816-12-12	0			Les fleurs n'étant plus de saison ...			Gedicht, verfasst auf Dyck, anlässlich der Geburtstagsfeier (?)							60 - 2. Korrektur -- Korrektur Briefanfänge -- Überprüfung Digitalisate	Toulon	2021-06-15 15:12:30	498				C11_S089_0037.jpg	C11/S89/037																																									<list><item n="main"></item></list>	
499	CdS-b2-000b	2022-04-08	2011-02-16 12:31:18	2021-06-15 15:12:30		C11/S89/038	Notiz		1						Handschriftliche Notiz auf Italienisch.							40 - 2. Korrektur der deutschen Texte	Toulon	2021-06-15 15:12:30	499				C11_S089_0038.jpg	C11/S89/038																																									<list><item n="main"></item></list>	
